"SpeciesID"	"SpecCode"	"Species"	"Genus"	"AphiaID"	"Class"	"Order"	"Family"	"Fresh"	"Brack"	"Saltwater"	"DemersPelag"	"AnaCat"
"62"	"Fis-33825"	10225	"Halicampus macrorhynchus"	"Halicampus"	"218011"	"Actinopterygii"	"Syngnathiformes"	"Syngnathidae"	0	0	1	"reef-associated"	NA
"63"	"Fis-33826"	10226	"Encheliophis vermicularis"	"Encheliophis"	"279269"	"Actinopterygii"	"Ophidiiformes"	"Carapidae"	0	0	1	"reef-associated"	NA
"64"	"Fis-27721"	10227	"Neopomacentrus azysron"	"Neopomacentrus"	"218837"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"65"	"Fis-27722"	10228	"Neopomacentrus metallicus"	"Neopomacentrus"	"278913"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"66"	"Fis-27723"	10229	"Neoglyphidodon bonang"	"Neoglyphidodon"	"278810"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"67"	"Fis-23875"	1023	"Trisopterus esmarkii"	"Trisopterus"	"126444"	"Actinopterygii"	"Gadiformes"	"Gadidae"	0	0	1	"benthopelagic"	"oceanodromous"
"68"	"Fis-27724"	10230	"Neoglyphidodon carlsoni"	"Neoglyphidodon"	"278811"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"69"	"Fis-27725"	10232	"Ablabys taenianotus"	"Ablabys"	"221449"	"Actinopterygii"	"Scorpaeniformes"	"Tetrarogidae"	0	0	1	"benthopelagic"	NA
"70"	"Fis-33828"	10233	"Nettastoma parviceps"	"Nettastoma"	"217557"	"Actinopterygii"	"Anguilliformes"	"Nettastomatidae"	0	0	1	"benthopelagic"	NA
"71"	"Fis-27726"	10235	"Neoglyphidodon polyacanthus"	"Neoglyphidodon"	"278815"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"72"	"Fis-27727"	10236	"Nansenia macrolepis"	"Nansenia"	"221413"	"Actinopterygii"	"Osmeriformes"	"Microstomatidae"	0	0	1	"pelagic-oceanic"	NA
"73"	"Fis-27728"	10238	"Benthosema pterotum"	"Benthosema"	"217680"	"Actinopterygii"	"Myctophiformes"	"Myctophidae"	0	0	1	"benthopelagic"	NA
"74"	"Fis-33831"	10239	"Parma oligolepis"	"Parma"	"282158"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"75"	"Fis-23431"	1024	"Chaetodipterus faber"	"Chaetodipterus"	"159703"	"Actinopterygii"	"Perciformes"	"Ephippidae"	0	1	1	"reef-associated"	"oceanodromous"
"76"	"Fis-27730"	10241	"Kuronezumia leonis"	"Kuronezumia"	"217771"	"Actinopterygii"	"Gadiformes"	"Macrouridae"	0	0	1	"benthopelagic"	NA
"77"	"Fis-33832"	10242	"Plectroglyphidodon flaviventris"	"Plectroglyphidodon"	"277232"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"78"	"Fis-33833"	10244	"Lepidion natalensis"	"Lepidion"	"217731"	"Actinopterygii"	"Gadiformes"	"Moridae"	0	0	1	"benthopelagic"	NA
"79"	"Fis-33834"	10245	"Physiculus capensis"	"Physiculus"	"217735"	"Actinopterygii"	"Gadiformes"	"Moridae"	0	0	1	"benthopelagic"	NA
"80"	"Fis-33835"	10246	"Physiculus natalensis"	"Physiculus"	"217734"	"Actinopterygii"	"Gadiformes"	"Moridae"	0	0	1	"benthopelagic"	NA
"81"	"Fis-33836"	10247	"Pomacentrus albimaculus"	"Pomacentrus"	"277129"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"82"	"Fis-23464"	1025	"Cypselurus comatus"	"Cypselurus"	"278731"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-neritic"	"oceanodromous"
"83"	"Fis-33839"	10250	"Haliichthys taeniophorus"	"Haliichthys"	"280982"	"Actinopterygii"	"Syngnathiformes"	"Syngnathidae"	0	0	1	"demersal"	NA
"84"	"Fis-33840"	10251	"Neobythites analis"	"Neobythites"	"217811"	"Actinopterygii"	"Ophidiiformes"	"Ophidiidae"	0	0	1	"benthopelagic"	NA
"85"	"Fis-33841"	10252	"Pomacentrus australis"	"Pomacentrus"	"277138"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"86"	"Fis-47103"	10253	"Rogadius welanderi"	"Rogadius"	"277260"	"Actinopterygii"	"Scorpaeniformes"	"Platycephalidae"	0	0	1	"reef-associated"	"non-migratory"
"87"	"Fis-27734"	10255	"Chatrabus melanurus"	"Chatrabus"	"221351"	"Actinopterygii"	"Batrachoidiformes"	"Batrachoididae"	0	0	1	"demersal"	NA
"88"	"Fis-27735"	10257	"Halieutaea fitzsimonsi"	"Halieutaea"	"220345"	"Actinopterygii"	"Lophiiformes"	"Ogcocephalidae"	0	0	1	"demersal"	NA
"89"	"Fis-33846"	10267	"Diaphus signatus"	"Diaphus"	"217688"	"Actinopterygii"	"Myctophiformes"	"Myctophidae"	0	0	1	"pelagic-oceanic"	NA
"90"	"Fis-33847"	10268	"Diaphus watasei"	"Diaphus"	"217691"	"Actinopterygii"	"Myctophiformes"	"Myctophidae"	0	0	1	"benthopelagic"	NA
"91"	"Fis-5571"	1027	"Cheilopogon exsiliens"	"Cheilopogon"	"126381"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-oceanic"	"oceanodromous"
"92"	"Fis-33850"	10273	"Polymixia berndti"	"Polymixia"	"217725"	"Actinopterygii"	"Polymixiiformes"	"Polymixiidae"	0	0	1	"demersal"	NA
"93"	"Fis-27743"	10276	"Antennarius pictus"	"Antennarius"	"217851"	"Actinopterygii"	"Lophiiformes"	"Antennariidae"	0	0	1	"reef-associated"	NA
"94"	"Fis-33851"	10277	"Pomacentrus opisthostigma"	"Pomacentrus"	"277163"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"95"	"Fis-33852"	10279	"Pomacentrus smithi"	"Pomacentrus"	"277172"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"96"	"Fis-23465"	1028	"Cheilopogon furcatus"	"Cheilopogon"	"159261"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-oceanic"	"oceanodromous"
"97"	"Fis-33853"	10280	"Pomacentrus taeniometopon"	"Pomacentrus"	"277175"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	1	1	"reef-associated"	"non-migratory"
"98"	"Fis-33854"	10281	"Pomacentrus wardi"	"Pomacentrus"	"277177"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"99"	"Fis-33855"	10282	"Pomachromis fuscidorsalis"	"Pomachromis"	"310932"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
"100"	"Fis-33856"	10283	"Velifer hypselopterus"	"Velifer"	"217887"	"Actinopterygii"	"Lampriformes"	"Veliferidae"	0	0	1	"demersal"	NA
"101"	"Fis-27746"	10286	"Chelmonops truncatus"	"Chelmonops"	"280142"	"Actinopterygii"	"Perciformes"	"Chaetodontidae"	0	0	1	"reef-associated"	"non-migratory"
"102"	"Fis-27747"	10287	"Coradion melanopus"	"Coradion"	"280392"	"Actinopterygii"	"Perciformes"	"Chaetodontidae"	0	0	1	"reef-associated"	"non-migratory"
"103"	"Fis-27748"	10288	"Pterois mombasae"	"Pterois"	"218080"	"Actinopterygii"	"Scorpaeniformes"	"Scorpaenidae"	0	0	1	"reef-associated"	NA
"104"	"Fis-48192"	1029	"Cheilopogon heterurus"	"Cheilopogon"	"126382"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-neritic"	"oceanodromous"
"105"	"Fis-33857"	10293	"Amphichaetodon melbae"	"Amphichaetodon"	"279589"	"Actinopterygii"	"Perciformes"	"Chaetodontidae"	0	0	1	"reef-associated"	"non-migratory"
