"V1" "V2"
"403" "Galveston" "0.0299955310911311"
"404" "Galway" "6.58735975977986e-06"
"405" "Gandia" "0.000251967694785971"
"406" "Garrucha" "8.90801825248477e-06"
"407" "Garston" "1.36021171489586e-05"
"408" "Gavle" "0.000172284955052837"
"409" "Gdansk" "0.00158376634107338"
"410" "Gdynia" "0.000913996951108387"
"411" "Gedser" "1.89913748060988e-08"
"412" "Geelong" "0.00175925241777508"
"413" "Gela" "0.000218995012921996"
"414" "Gelendzhgic" "1.74315090561983e-06"
"415" "Genoa" "0.0155997933062832"
"416" "Georgetown (Cayman Island)" "0.00051375360502004"
"417" "Georgetown (USA)" "9.28724906357203e-06"
"418" "Ghazaouet" "0.000119972012699976"
"419" "Ghent" "0.00298734741456352"
"420" "Gibraltar" "0.047241327715747"
"421" "Gijon" "0.00145338964187525"
"422" "Giresun" "5.70324631965491e-09"
"423" "Gladstone" "0.00865261867964395"
"424" "Glasgow" "0.000139964031388828"
"425" "Glatved" "1.30583923230176e-07"
"426" "Glensanda" "3.31079217386065e-06"
"427" "Gluckstadt" "7.06866224886582e-07"
"428" "Goole" "2.9906093858667e-05"
"429" "Gothenburg" "0.00332857363882111"
"430" "Gourock" "2.44426701101474e-11"
"431" "Grangemouth" "0.000151475101082488"
"432" "Granville" "3.97070956559276e-07"
"433" "Grays Harbor" "8.07629847326963e-05"
"434" "Great Yarmouth" "9.64611414544514e-06"
"435" "Greenock" "0.000340728541566859"
"436" "Greenore" "1.2143124159647e-05"
"437" "Greifswald-Ladebow" "1.10673121334059e-07"
"438" "Grenaa" "0.000102030358644978"
"439" "Grenland" "0.000657258689742424"
"440" "Grimsby" "2.99879754913634e-05"
"441" "Grimstad" "4.97700557433589e-08"
"442" "Grindavik" "1.15563467477653e-05"
"443" "Grisslehamn" "1.62303503969952e-12"
"444" "Groningen" "4.13376119889897e-07"
"445" "Grundartangi" "0.000406878909919861"
"446" "Guangzhou" "0.00682336993356514"
"447" "Guayanilla" "0.00122427759115962"
"448" "Guayaquil" "0.0048550216158092"
"449" "Gulfhavn" "0.000319828164214719"
"450" "Gulfport" "1.64514484708445e-05"
"451" "Gustavia" "6.82400223969148e-05"
"452" "Hadera" "0.000220673638538171"
"453" "Hafnarfjordur" "0.000126743751081348"
"454" "Haifa" "0.00384005895068518"
"455" "Haikou" "7.69683206747196e-06"
"456" "Haines" "7.39408534400354e-14"
"457" "Haiphong" "0.00047212891036752"
"458" "Hakata" "2.38648719674828e-08"
"459" "Halden" "5.47325206268212e-08"
"460" "Halifax" "0.00787554055821527"
"461" "Hallstavik" "2.26631578059688e-07"
"462" "Halmstad" "5.42334278107459e-05"
"463" "Hals" "8.20307183124758e-06"
"464" "Hamble" "0.00177909561930112"
"465" "Hamburg" "0.0381466082763209"
"466" "Hamilton (Canada)" "3.6640625792228e-05"
"467" "Hamina" "0.000494895585639754"
"468" "Hampton Roads" "0.0305777036895285"
"469" "Hamriyah" "0.00110249217179448"
"470" "Hanko" "0.000287934359385678"
"471" "Hannan" "0.000426072574614911"
"472" "Hanstholm" "8.67655794101196e-07"
"473" "Hansweert" "0.000596611750186327"
"474" "Hargshamn" "1.4126315389662e-06"
"475" "Harlingen" "3.67951192240534e-05"
"476" "Harnosand" "1.48407341699075e-05"
"477" "Harstad" "4.35456741554319e-07"
"478" "Hartlepool" "0.000100647516088292"
"479" "Harwich" "0.000127858024089988"
"480" "Hashihama" "3.73951433152442e-08"
"481" "Haydarpasa" "0.000489418360541727"
"482" "Hay Point" "0.00397733742259843"
"483" "Heikendorf-Reede" "1.60511344537984e-06"
"484" "Heiligenhafen" "2.00899121782783e-08"
"485" "Helgoland" "7.33721720047598e-08"
"486" "Helguvik" "6.10064395420995e-05"
"487" "Hellevoetsluis" "1.01438124566755e-09"
"488" "Helsingborg" "0.000121022713086671"
"489" "Helsinki" "0.000725300206034785"
"490" "Heltermaa" "5.75832854732283e-08"
"491" "Hengsha" "0.00054037497315762"
"492" "Heysham" "3.44684435771292e-07"
"493" "Hibikinada" "4.60684510412701e-05"
"494" "Higashi-Harima" "1.27780888149465e-05"
"495" "Hillsborough Bay" "1.86424540966623e-05"
"496" "Hilo" "0.000229956219503613"
"497" "Himeji" "4.51599369135636e-05"
"498" "Hirtshals" "7.65695761129059e-06"
"499" "Hoernum" "2.78488343496974e-12"
"500" "Hoganas" "1.23673512530953e-05"
"501" "Holbaek" "6.76232424168255e-07"
"502" "Holmestrand" "7.59797678218099e-07"
"503" "Holtenau" "0.00321372590907321"
"504" "Holyhead" "1.14456045027245e-05"
"505" "Homer" "0.000263158204746761"
"506" "Homs" "2.28327648024162e-05"
"507" "Honfleur" "0.000404607972734783"
"508" "Hong Kong" "0.0910334835223304"
"509" "Honolulu" "0.0057676619805046"
"510" "Hook of Holland" "0.00523826388997917"
"511" "Hoonah" "3.98150101776906e-08"
"512" "Hopa" "4.30313131682958e-06"
"513" "Horsens" "3.21428746730135e-07"
"514" "Horseshoe Bay" "4.51732566908447e-07"
"515" "Horten" "3.74221952491594e-05"
"516" "Hound Point" "0.000869779623088984"
"517" "Houston" "0.0266708263422085"
"518" "Howdendyke" "4.29703880111543e-06"
"519" "Huangdao" "7.16104502224146e-05"
"520" "Huanghua" "0.000897227474963125"
"521" "Huelva" "0.000881656575741241"
"522" "Hueneme" "0.00125127769229716"
"523" "Hulaylah" "8.87106982272456e-06"
"524" "Hull" "0.000629134536018983"
"525" "Humen" "7.23596489725642e-05"
"526" "Hundested Havn" "1.08170005523878e-05"
"527" "Hunterston" "0.000234829550324389"
"528" "Husum (Germany)" "3.34577997732621e-05"
"529" "Husum (Sweden)" "0.000153254524488666"
"530" "Ibiza" "5.00770676472584e-05"
"531" "Idku" "0.000173260437679734"
"532" "Iggesund" "4.0631119414547e-06"
"533" "Iho" "2.91283666964404e-07"
"534" "Ijmuiden" "0.0207863013621651"
"535" "Ile Rousse" "4.30920146232694e-08"
"536" "Illichevsk" "0.00395103715226996"
"537" "Imabari" "1.01028031144201e-05"
"538" "Immingham" "0.00431601939635595"
"539" "Incheon" "0.000658414514237426"
"540" "Inebolu" "1.07300878360306e-06"
"541" "Inkoo" "7.41968137882854e-05"
"542" "Innoshima" "0.000213353631081326"
"543" "Ipswich" "0.000161741723002207"
"544" "Iraklion" "3.28064716358378e-05"
"545" "Isdemir" "0.000102435191338457"
"546" "Iskenderun" "5.16172358355771e-06"
"547" "Istanbul" "0.00572706641187848"
"548" "Itea" "3.39170291703272e-05"
"549" "Itozaki" "1.48278710784266e-05"
"550" "Izmail" "2.95298931229926e-06"
"551" "Izmit" "1.35711924651449e-05"
"552" "Jacksonville" "0.0065418465343513"
"553" "Jakobstad" "0.000137873263424293"
